Run	Sample	Category
ERR4998587	m1075	heathland
ERR4998588	m11204	meadow
ERR4998589	m11204	meadow
ERR4998590	m11211	heathland
ERR4998591	m11213	barren
ERR4998592	m11216	heathland
ERR4998593	m11216	heathland
ERR4998594	m11221	barren
ERR4998595	m115	heathland
ERR4998596	m115	heathland
ERR4998597	m1159	heathland
ERR4998598	m12205	fen
ERR4998599	m12206	fen
ERR4998600	m12208	fen
ERR4998601	m12209	fen
ERR4998602	m12211	fen
ERR4998603	m12214	fen
ERR4998604	m187	heathland
ERR4998605	m187	heathland
ERR4998606	m247	meadow
ERR4998607	m25	heathland
ERR4998608	m25	heathland
ERR4998609	m265	meadow
ERR4998610	m37	heathland
ERR4998611	m37	heathland
ERR4998612	m403	meadow
ERR4998613	m481	heathland
ERR4998614	m517	heathland
ERR4998615	m517	heathland
ERR4998616	m577	heathland
ERR4998617	m667	heathland
ERR4998618	m823	heathland
ERR4998619	m823	heathland
ERR4998620	m835	heathland
ERR4998621	m967	meadow
ERR4998622	m967	meadow
ERR4998623	m97	heathland
ERR4998624	o1075	heathland
ERR4998625	o11205	heathland
ERR4998626	o11213	barren
ERR4998627	o11216	heathland
ERR4998628	o11221	barren
ERR4998629	o115	heathland
ERR4998630	o1159	heathland
ERR4998631	o1159	heathland
ERR4998632	o115	heathland
ERR4998633	o12204	fen
ERR4998634	o12205	fen
ERR4998635	o12206	fen
ERR4998636	o12207	fen
ERR4998637	o12208	fen
ERR4998638	o12209	fen
ERR4998639	o12210	fen
ERR4998640	o12211	fen
ERR4998641	o12212	fen
ERR4998642	o12214	fen
ERR4998643	o12215	fen
ERR4998644	o12216	fen
ERR4998645	o12217	fen
ERR4998646	o12218	fen
ERR4998647	o12220	fen
ERR4998648	o12221	fen
ERR4998649	o187	heathland
ERR4998650	o247	meadow
ERR4998651	o247	meadow
ERR4998652	o25	heathland
ERR4998653	o265	meadow
ERR4998654	o265	meadow
ERR4998655	o277	heathland
ERR4998656	o37	heathland
ERR4998657	o37	heathland
ERR4998658	o403	meadow
ERR4998659	o427	heathland
ERR4998660	o427	heathland
ERR4998661	o481	heathland
ERR4998662	o517	heathland
ERR4998663	o517	heathland
ERR4998664	o577	heathland
ERR4998665	o577	heathland
ERR4998666	o667	heathland
ERR4998667	o811	meadow
ERR4998668	o823	heathland
ERR4998669	o823	heathland
ERR4998670	o835	heathland
ERR4998671	o961	meadow
ERR4998672	o967	meadow
ERR4998673	o967	meadow
ERR4998674	o97	heathland
